"data";"valor"
"01/04/2016";"13,4"
"01/07/2016";"13,2"
"01/10/2016";"12,0"
"01/01/2017";"11,1"
"01/04/2017";"9,8"
"01/07/2017";"9,2"
"01/10/2017";"8,0"
"01/01/2018";"7,8"
"01/04/2018";"7,0"
"01/07/2018";"7,0"
"01/10/2018";"6,4"
"01/01/2019";"5,8"
"01/04/2019";"5,7"
"01/07/2019";"6,1"
"01/10/2019";"6,4"
"01/01/2020";"6,8"
"01/04/2020";"6,3"
"01/07/2020";"4,4"
"01/10/2020";"4,3"
"01/01/2021";"4,7"
"01/04/2021";"4,7"
"01/07/2021";"4,4"
"01/10/2021";"4,4"
"01/01/2022";"4,6"
"01/04/2022";"4,9"
"01/07/2022";"5,1"
"01/10/2022";"5,7"
"01/01/2023";"6,0"
"01/04/2023";"6,4"
